sampleID_closestDate,specific.location,System,general.location,latitude_grab,longitude_grab,particles.L.blank.corrected,particles.fish.blank.corrected,particles.kg.blank.corrected,sample.matrix,sample.matrix.specific,Sampling.apparatus,Min.particle.size.um,Max.particle.size.um,Station Code,Date_string,particle_count,sample_volume_L,match?,needs_fixing
GFNMS25 Mar 30,NA,Estuary,NA,37.9670 ,-122.9272 ,0,,,water,surface water,1-L grab,50,5000,GFNMS25,Mar-22,0,1.049,N,
CB5 Nov 16,NA,Estuary,NA,37.8445 ,-122.4069 ,0.62774639,,,water,surface water,1-L grab,50,5000,CB5,Nov-22,0.666666667,1.062,N,
GFNMS/MBNMS29 Jan 22,NA,Estuary,NA,37.8128 ,-122.4723 ,0,,,water,surface water,1-L grab,50,5000,GFNMS/MBNMS29,Jan-22,0.666666667,1.022,N,
GFNMS26 Sept 12,NA,Estuary,NA,37.8213 ,-123.0068 ,0,,,water,surface water,1-L grab,50,5000,GFNMS26,Sept-12,0.666666667,0.94,Y,
SB10 Aug 23,NA,Estuary,NA,37.6534 ,-122.2281 ,0,,,water,surface water,1-L grab,50,5000,SB10,Aug-22,1,1.002,N,
MBNMS29 Mar 30,NA,Estuary,NA,37.8053 ,-122.5082 ,0.943396226,,,water,surface water,1-L grab,50,5000,MBNMS29,Mar-30,1,1.06,Y,
GFNMS27 Sept 13,NA,Estuary,NA,37.7327 ,-123.2630 ,1.262626263,,,water,surface water,1-L grab,50,5000,GFNMS27,Sep-22,1.333333333,1.056,N,
LSB15 Mar 6,NA,Estuary,NA,37.4654 ,-122.0912 ,1.279590531,,,water,surface water,1-L grab,50,5000,LSB15 (corrected from LSB14 to LSB15),Mar-22,1.333333333,1.042,N,
SB11 Mar 19,NA,Estuary,NA,37.5983 ,-122.2502 ,0,,,water,surface water,1-L grab,50,5000,SB11,Mar-22,1.5,0.94,N,
CB7 Bay Bridge Nov 16,NA,Estuary,NA,37.7795 ,-122.3537 ,1.582779361,,,water,surface water,1-L grab,50,5000,CB7,Nov-22,1.666666667,1.053,N,
CBNMS23 Sept 12,NA,Estuary,NA,38.0346 ,-123.3131 ,1.640419948,,,water,surface water,1-L grab,50,5000,CBNMS23,Sep-22,1.666666667,1.016,N,
MBNMS30 Sept 27,NA,Estuary,NA,37.6718 ,-122.6110 ,1.605651895,,,water,surface water,1-L grab,50,5000,MBNMS30,Sep-22,1.666666667,1.038,N,
GFNMS25 Sept 11,NA,Estuary,NA,37.9695 ,-122.9270 ,1.811594203,,,water,surface water,1-L grab,50,5000,GFNMS25,Sept-11,1.666666667,0.92,Y,
CB6 Aug 22,NA,Estuary,NA,37.8342 ,-122.3204 ,0,,,water,surface water,1-L grab,50,5000,CB6,Aug-22,1.833333333,0.938,N,
LSB16 Mar 6,NA,Estuary,NA,37.4645 ,-122.0271 ,2.412280702,,,water,surface water,1-L grab,50,5000,LSB16,Mar-22,1.833333333,0.76,N,
CB7 Aug 22 DUP,NA,Estuary,NA,N/A ,N/A ,0,,,water,surface water,1-L grab,50,5000,CB7,Aug-22,2.166666667,0.932,N,
MBNMS29 Sept 13,NA,Estuary,NA,37.7935 ,-122.5030 ,0,,,water,surface water,1-L grab,50,5000,MBNMS29,Sept-13,2.166666667,0.962,Y,
MBNMS30 Mar 31,NA,Estuary,NA,37.6726 ,-122.6108 ,0,,,water,surface water,1-L grab,50,5000,MBNMS30,Mar 30 (Mar 31 for Manta),2.333333333,1.058,N,
SUB1 Aug 21,NA,Estuary,NA,38.1071 ,-122.0563 ,2.764612954,,,water,surface water,1-L grab,50,5000,SUB1,Aug-22,2.333333333,0.844,N,
CB8 Jan 11,NA,Estuary,NA,37.7505 ,-122.2278 ,2.551020408,,,water,surface water,1-L grab,50,5000,CB8,Jan-11,2.5,0.98,Y,n
MBNMS28 (GFNMS28?) Mar 22,NA,Estuary,NA,37.8064 ,-122.7583 ,0,,,water,surface water,1-L grab,50,5000,MBNMS28 (GFNMS28?),Mar-22,2.5,1.049,N,
SB12 Mar 19,NA,Estuary,NA,37.5829 ,-122.2708 ,1,,,water,surface water,1-L grab,50,5000,SB12,Mar-19,2.666666667,1,Y,
CB4 Richmond Bdg Nov 16,NA,Estuary,NA,37.9229 ,-122.4330 ,2.734877735,,,water,surface water,1-L grab,50,5000,CB4,Nov-22,2.833333333,1.036,N,
CB8 Aug 25,NA,Estuary,NA,37.7514 ,-122.2260 ,2.703562341,,,water,surface water,1-L grab,50,5000,CB8,Aug-22,2.833333333,1.048,N,
SPB2 Nov 16,NA,Estuary,NA,38.0598 ,-122.4244 ,1,,,water,surface water,1-L grab,50,5000,SPB2,Nov-16,2.833333333,1,Y,
CBNMS22 Sept 12,NA,Estuary,NA,38.1068 ,-123.1138 ,0,,,water,surface water,1-L grab,50,5000,CBNMS22,Sept-12,3,1,Y,y
LSB14 Mar 6,NA,Estuary,NA,37.4801 ,-122.0781 ,1,,,water,surface water,1-L grab,50,5000,LSB14,Mar-22,3.166666667,1.022,N,
SPB2 Aug 21 2017,NA,Estuary,NA,38.0513 ,-122.4218 ,1,,,water,surface water,1-L grab,50,5000,SPB2,Aug-21 2017,3.333333333,1,Y,
CB4 Aug 21,NA,Estuary,NA,37.9156 ,-122.4412 ,3.465346535,,,water,surface water,1-L grab,50,5000,CB4,Aug-21,3.5,1.01,Y,n
SB11 Aug 23,NA,Estuary,NA,37.5863 ,-122.2022 ,3.346080306,,,water,surface water,1-L grab,50,5000,SB11,Aug-22,3.5,1.046,N,
MBNMS31 Sept 27,NA,Estuary,NA,N/A ,N/A ,3.502069405,,,water,surface water,1-L grab,50,5000,MBNMS31,Sep-22,3.666666667,1.047,N,
GFNMS28 DUP Sept 13,NA,Estuary,NA,37.8058 ,-122.7561 ,3.664754621,,,water,surface water,1-L grab,50,5000,GFNMS28 (DUP for Manta),Sep-22,3.833333333,1.046,N,
SB13 Aug 23,NA,Estuary,NA,37.5649 ,-122.2227 ,0,,,water,surface water,1-L grab,50,5000,SB13,Aug-23,4,0.922,Y,
