"","SampleMatrix","SampleID","PlasticType","MorphologicalCategory","Color","Length.mm","Width.mm","MatrixName","Size_um","matrix","lower_size_limit_um","upper_size_limit_um","general","season","site"
"1","manta","CB-4-Manta-21Aug2017","Polyethylene/polypropylene copolymer","Fiber","Light Blue",2.427,0.037,"samplewater, particulate, >125 to 355 um",2427,"samplewater",125,355,"plastic","dry","Central Bay"
"2","manta","CB-4-Manta-21Aug2017","Polyester","Fiber","Black",4.385,0.04,"samplewater, particulate, >125 to 355 um",4385,"samplewater",125,355,"plastic","dry","Central Bay"
"3","manta","CB-4-Manta-21Aug2017","Polyethylene/polypropylene copolymer","Fiber","Clear",2.907,0.08,"samplewater, particulate, >125 to 355 um",2907,"samplewater",125,355,"plastic","dry","Central Bay"
"4","manta","CB-4-Manta-21Aug2017","Polyester","Fiber","Light Blue",1.869,0.035,"samplewater, particulate, >125 to 355 um",1869,"samplewater",125,355,"plastic","dry","Central Bay"
"5","manta","CB-4-Manta-21Aug2017","Polyester","Fiber","Black",3.112,0.035,"samplewater, particulate, >125 to 355 um",3112,"samplewater",125,355,"plastic","dry","Central Bay"
"6","manta","CB-4-Manta-21Aug2017","Polyester","Fiber","Black",2.097,0.048,"samplewater, particulate, >125 to 355 um",2097,"samplewater",125,355,"plastic","dry","Central Bay"
"7","manta","CB-4-Manta-21Aug2017","Polyethylene/polypropylene copolymer","Fiber","Blue",2.209,0.049,"samplewater, particulate, >125 to 355 um",2209,"samplewater",125,355,"plastic","dry","Central Bay"
"8","manta","CB-4-Manta-21Aug2017","Polyurethane","Fiber","Clear",3.502,0.063,"samplewater, particulate, >125 to 355 um",3502,"samplewater",125,355,"plastic","dry","Central Bay"
"9","manta","CB5-Manta-DUP-5Nov2017","Acrylic","Fiber","Red",6.096,0.04,"samplewater, particulate, >125 to 355 um",6096,"samplewater",125,355,"plastic","wet","Central Bay"
"10","manta","CB5-Manta-DUP-5Nov2017","Polyester","Fiber","Red",6.822,0.026,"samplewater, particulate, >125 to 355 um",6822,"samplewater",125,355,"plastic","wet","Central Bay"
"11","manta","CB5-Manta-DUP-5Nov2017","Polypropylene","Fiber","Green",5.25,0.02,"samplewater, particulate, >125 to 355 um",5250,"samplewater",125,355,"plastic","wet","Central Bay"
"12","manta","CB5-Manta-DUP-5Nov2017","Polystyrene","Fiber","White",2.619,1.344,"samplewater, particulate, >125 to 355 um",2619,"samplewater",125,355,"plastic","wet","Central Bay"
"13","manta","CB6-Manta-22Aug2017","Polyester","Fiber","Black",7.308,0.824,"samplewater, particulate, >125 to 355 um",7308,"samplewater",125,355,"plastic","dry","Central Bay"
"14","manta","CB6-Manta-22Aug2017","Polyester","Fiber","Black",4.529,0.045,"samplewater, particulate, >125 to 355 um",4529,"samplewater",125,355,"plastic","dry","Central Bay"
"15","manta","CB6-Manta-22Aug2017","Polyester","Fiber","Black",4.75,0.044,"samplewater, particulate, >125 to 355 um",4750,"samplewater",125,355,"plastic","dry","Central Bay"
"16","manta","CB6-Manta-22Aug2017","Polyester","Fiber Bundle","White",1.657,0.242,"samplewater, particulate, >125 to 355 um",1657,"samplewater",125,355,"plastic","dry","Central Bay"
"17","manta","CB6-Manta-22Aug2017","Polyester","Fiber","Light Blue",3.562,0.046,"samplewater, particulate, >125 to 355 um",3562,"samplewater",125,355,"plastic","dry","Central Bay"
"18","manta","CB6-Manta-22Aug2017","Polyester","Fiber","Light Blue",8.985,0.027,"samplewater, particulate, >125 to 355 um",8985,"samplewater",125,355,"plastic","dry","Central Bay"
"19","manta","CB6-Manta-22Aug2017","Polyester","Fiber","Pink",1.703,0.026,"samplewater, particulate, >125 to 355 um",1703,"samplewater",125,355,"plastic","dry","Central Bay"
"20","manta","CB6-Manta-22Aug2017","Acrylic","Fiber","Blue",4.411,0.02,"samplewater, particulate, >125 to 355 um",4411,"samplewater",125,355,"plastic","dry","Central Bay"
"21","manta","CB6-Manta-22Aug2017","Polyester","Fiber Bundle","Blue",0.716,0.403,"samplewater, particulate, >125 to 355 um",716,"samplewater",125,355,"plastic","dry","Central Bay"
"22","manta","CB7-Manta-22Aug2017","Polyethylene","Fiber","Clear",115,95,"samplewater, particulate, >125 to 355 um",115000,"samplewater",125,355,"plastic","dry","Central Bay"
"23","manta","CB7-Manta-22Aug2017","Polyester","Fiber","Black",2.979,0.05,"samplewater, particulate, >125 to 355 um",2979,"samplewater",125,355,"plastic","dry","Central Bay"
"24","manta","CB7-Manta-22Aug2017","Polypropylene","Fiber","Black",2.697,0.075,"samplewater, particulate, >125 to 355 um",2697,"samplewater",125,355,"plastic","dry","Central Bay"
"25","manta","CB7-Manta-22Aug2017","Polyethylene","Fiber","Black",6.223,0.053,"samplewater, particulate, >125 to 355 um",6223,"samplewater",125,355,"plastic","dry","Central Bay"
"26","manta","CB7-Manta-22Aug2017","Polypropylene","Fiber","Brown",6.38,0.106,"samplewater, particulate, >125 to 355 um",6380,"samplewater",125,355,"plastic","dry","Central Bay"
"27","manta","CB9-Manta-22Aug2017","Polyester","Fiber","Black",1.09,0.08,"samplewater, particulate, >125 to 355 um",1090,"samplewater",125,355,"plastic","dry","Central Bay"
"28","manta","CB9-Manta-22Aug2017","Nylon","Fiber","Red",11.55,0.02,"samplewater, particulate, >125 to 355 um",11550,"samplewater",125,355,"plastic","dry","Central Bay"
"29","manta","CB9-Manta-22Aug2017","Polyester","Fiber","Red",4.83,0.03,"samplewater, particulate, >125 to 355 um",4830,"samplewater",125,355,"plastic","dry","Central Bay"
"30","manta","CB9-Manta-22Aug2017","Nylon","Fiber","Red",2.19,0.03,"samplewater, particulate, >125 to 355 um",2190,"samplewater",125,355,"plastic","dry","Central Bay"
"31","manta","CB9-Manta-22Aug2017","Polyester","Fiber","Blue",5.41,0.02,"samplewater, particulate, >125 to 355 um",5410,"samplewater",125,355,"plastic","dry","Central Bay"
"32","manta","CB9-Manta-22Aug2017","Polyester","Fiber","Green",6.94,0.02,"samplewater, particulate, >125 to 355 um",6940,"samplewater",125,355,"plastic","dry","Central Bay"
"33","manta","CB9-Manta-22Aug2017","Polyester","Fiber","Red",1.43,0.02,"samplewater, particulate, >125 to 355 um",1430,"samplewater",125,355,"plastic","dry","Central Bay"
"34","manta","CB9-Manta-22Aug2017","Nylon","Fiber","Purple",13.21,0.03,"samplewater, particulate, >125 to 355 um",13210,"samplewater",125,355,"plastic","dry","Central Bay"
"35","manta","CB9-Manta-22Aug2017","Nylon","Fiber","Red",2.57,0.01,"samplewater, particulate, >125 to 355 um",2570,"samplewater",125,355,"plastic","dry","Central Bay"
"36","manta","CB9-Manta-22Aug2017","Polyester","Fiber","Green",9.75,0.01,"samplewater, particulate, >125 to 355 um",9750,"samplewater",125,355,"plastic","dry","Central Bay"
"37","manta","CB9-Manta-22Aug2017","Polypropylene","Fiber","Red",2.21,0.06,"samplewater, particulate, >125 to 355 um",2210,"samplewater",125,355,"plastic","dry","Central Bay"
