"","Reference","sampleID","Sample.Type","sample.matrix","sample.matrix.specific","compartment","Sampling.apparatus","min_mesh_size_um","max_mesh_size_um","site","specific.location","latitude","longitude","season","particles.L.blank.corrected","particles.fish.blank.corrected","particles.kg.blank.corrected","alpha.05","alpha.50","alpha.95","rescaling_correction_factor_5thPercentile","rescaling_correction_factor_50thPercentile","rescaling_correction_factor_95thPercentile","fiber_correction_factor_5thPercentile","fiber_correction_factor_50thPercentile","fiber_correction_factor_95thPercentile","plastic_proportion_correction_5thPercentile","plastic_proportion_correction_50thPercentile","plastic_proportion_correction_95thPercentile","combined_correction_factor_5thPercentile","combined_correction_factor_50thPercentile","combined_correction_factor_95thPercentile","particles.L_rescaled_corrected_5thPercentile","particles.L_rescaled_corrected_50thPercentile","particles.L_rescaled_corrected_95thPercentile","particles.fish_rescaled_corrected_5thPercentile","particles.fish_rescaled_corrected_50thPercentile","particles.fish_rescaled_corrected_95thPercentile","particles.kg_rescaled_corrected_5thPercentile","particles.kg_rescaled_corrected_50thPercentile","particles.kg_rescaled_corrected_95thPercentile"
"1","Zhu et. al 2021","17-POC-438-125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"Rodeo Creek at Seacliff Ct Pedestrian Br","38.016","-122.254",NA,1.63,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,29.0573707034467,15613.1898943169,8381947.99182568,NA,NA,NA,NA,NA,NA
"2","Zhu et. al 2021","17-POC-259-125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"Refugio Creek at Tsushima St","38.018","-122.277",NA,1.65,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,29.4139028593172,15804.7627764557,8484793.97945544,NA,NA,NA,NA,NA,NA
"3","Zhu et. al 2021","20180406MMPStormSBCCMP125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"Coyote Creek","37.385832","-121.909581",NA,7.2,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,128.351576113384,68966.2375699886,37024555.5467147,NA,NA,NA,NA,NA,NA
"4","Zhu et. al 2021","17-POC-283-125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"Colma Ck at S. Linden Blvd","37.65","-122.412",NA,5.63,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,100.363801877549,53927.7663220883,28951145.5177783,NA,NA,NA,NA,NA,NA
"5","Zhu et. al 2021","17-POC-515-125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"Line 12K at Coliseum Entrance","37.754","-122.204",NA,4.94,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,88.0634425000164,47318.5018882977,25402958.9445515,NA,NA,NA,NA,NA,NA
"6","Zhu et. al 2021","17-POC-100-125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"Line 12F below PG&E station","37.762","-122.214",NA,8.43,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,150.278303699421,80747.9698215283,43349583.7859451,NA,NA,NA,NA,NA,NA
"7","Zhu et. al 2021","17-POC-130-125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"Line 12J at mouth to 12K","37.755","-122.201",NA,10.06,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,179.335674402867,96361.1597158452,51731531.7777708,NA,NA,NA,NA,NA,NA
"8","Zhu et. al 2021","17GR-003-125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"Guadalupe River at Highway 101","37.37356","-121.93283",NA,2.31,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,41.1794640030441,22126.667887038,11878711.5712376,NA,NA,NA,NA,NA,NA
"9","Zhu et. al 2021","20180108MMPStormSBSMMP125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,NA,"San Mateo Creek","37.572638","-122.310769",NA,1.09,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,19.4310024949429,10440.7220765677,5605106.32582208,NA,NA,NA,NA,NA,NA
"10","Zhu et. al 2021","20180108MMPStormCBMeek125&355","sample","water","stormwater","marine","depth-integrated perisaltic pump",106,5000,"Central Bay","Meeker Slough at Regatta Blvd","37.917861","-122.33838",NA,17.84,NA,NA,1.59636024819848,2.96566911696383,4.31365064850636,17.8266077935256,9578.64410694286,5142299.38148815,NA,NA,NA,NA,NA,NA,17.8266077935256,9578.64410694286,5142299.38148815,318.026683036496,170883.010867861,91738620.9657486,NA,NA,NA,NA,NA,NA
