"","diff","lwr","upr","p adj"
"fish-eff",-0.0678244888441384,-0.179135715458517,0.04348673777024,0.451192032737107
"manta-eff",0.409141697388331,0.291951883549941,0.526331511226722,1.08801856413265e-14
"sed-eff",0.0566299857542557,-0.0866224167158979,0.199882388224409,0.813121758397376
"sw-eff",0.109954639843789,-0.0410466508551501,0.260955930542727,0.268205021694069
"manta-fish",0.47696618623247,0.402117065834142,0.551815306630797,0
"sed-fish",0.124454474598394,0.0131432479840156,0.235765701212772,0.0198421943495005
"sw-fish",0.177779128687927,0.0566579986169438,0.29890025875891,0.000703230365271645
"sed-manta",-0.352511711634076,-0.469701525472466,-0.235321897795685,1.25899290992493e-13
"sw-manta",-0.299187057544543,-0.425731877457296,-0.172642237631789,4.96224505930343e-09
"sw-sed",0.053324654089533,-0.0976766366094057,0.204325944788472,0.867962830587682
