"","aboveThreshold","locationNew","total","n_Conc","n_conc.lower.95","n_conc.upper.95","rel.freq_Conc","rel.freq_conc.lower.95","rel.freq_conc.upper.95"
"1","below Threshold 1","Central Bay",13,8,11,3,"62%","85%","23%"
"2","below Threshold 1","general",7,6,7,4,"86%","100%","57%"
"3","below Threshold 1","Lower South Bay",6,6,6,1,"100%","100%","17%"
"4","below Threshold 1","National Marine Sanctuary",24,24,24,20,"100%","100%","83%"
"5","below Threshold 1","South Bay",8,5,8,3,"62%","100%","38%"
"6","above Threshold 1","Central Bay",13,4,1,6,"31%","8%","46%"
"7","above Threshold 1","general",7,1,NA,3,"14%",NA,"43%"
"8","above Threshold 1","South Bay",8,3,NA,3,"38%",NA,"38%"
"9","above Threshold 1","Lower South Bay",6,NA,NA,5,NA,NA,"83%"
"10","above Threshold 1","National Marine Sanctuary",24,NA,NA,4,NA,NA,"17%"
"11","above Threshold 2","Central Bay",13,NA,1,1,NA,"8%","8%"
"12","above Threshold 2","South Bay",8,NA,NA,2,NA,NA,"25%"
"13","above Threshold 3","Central Bay",13,1,NA,2,"8%",NA,"15%"
"14","above Threshold 4","Central Bay",13,NA,NA,1,NA,NA,"8%"
